Co_Ref,Total_Renewal_Score_New,Tenure_Years,Band,call_count_window,tenure_days,price_change_ratio,days_last_call_to_renewal,call_freq_per_month
NG1104,35.5,13.0,2,0,4748.0,0.20572028339018622,98.0,0.0
QM6964,34.0,3.0,1,1,1096.0,0.0,-4.0,0.2222222222222222
EL5848,45.0,4.0,3,1,1461.0,0.0,56.0,0.2222222222222222
IF7545,32.5,2.0,2,0,731.0,0.0,98.0,0.0
IP2842,45.0,2.0,4,0,731.0,0.0,98.0,0.0
ZH3603,42.5,4.0,4,1,1461.0,0.0,115.0,0.2222222222222222
TO0530,44.0,5.0,4,0,1826.0,0.0,98.0,0.0
NR9533,43.5,16.0,2,1,5844.0,0.0,-187.0,0.2222222222222222
OE8742,39.0,2.0,4,1,731.0,0.0,115.0,0.2222222222222222
NK0606,43.0,10.0,5,1,3653.0,0.0,-4.0,0.2222222222222222
EE2695,35.5,5.0,5,1,1826.0,0.0,-34.0,0.2222222222222222
OW9516,44.0,16.0,2,1,5844.0,0.0,115.0,0.2222222222222222
LY5085,45.5,9.0,2,0,3287.0,0.0,98.0,0.0
JV3821,46.5,16.0,3,0,5844.0,-0.06362058993637941,98.0,0.0
WV0786,44.0,4.0,4,0,1461.0,0.0,98.0,0.0
PC3425,40.0,3.0,4,0,1096.0,0.0,98.0,0.0
ND5521,43.5,3.0,1,0,1096.0,0.0,98.0,0.0
KN5286,40.0,3.0,4,0,1096.0,0.0,98.0,0.0
EF9839,45.5,10.0,4,0,3653.0,0.13002364066193853,98.0,0.0
GH8796,43.0,2.0,1,1,731.0,0.0,-34.0,0.2222222222222222
FA0595,44.0,4.0,3,0,1461.0,0.0,98.0,0.0
XV5324,46.5,9.0,5,1,3287.0,0.0,-4.0,0.2222222222222222
XO2827,44.0,2.0,4,1,731.0,0.0,56.0,0.2222222222222222
BV1725,32.5,2.0,8,1,731.0,0.0,143.0,0.2222222222222222
FX8490,33.5,2.0,7,0,731.0,0.0,98.0,0.0
PL5118,32.0,1.0,1,0,365.0,0.1419031719532554,98.0,0.0
DN9865,34.0,9.0,2,1,3287.0,0.7109207708779444,-69.0,0.2222222222222222
AE0167,33.0,2.0,8,1,731.0,0.0,-8.0,0.2222222222222222
PQ0890,33.5,2.0,5,0,731.0,0.0,98.0,0.0
KT9016,32.5,2.0,4,0,731.0,0.0,98.0,0.0
VP1463,34.0,12.0,1,1,4448.0,0.5238095238095238,-68.0,0.2222222222222222
ON4445,32.5,2.0,1,1,731.0,0.0,-35.0,0.2222222222222222
RK3411,35.0,10.0,3,0,3653.0,0.0,98.0,0.0
JF3452,33.5,2.0,2,0,731.0,0.0,98.0,0.0
VV1470,35.0,10.0,7,1,3653.0,0.0,354.0,0.2222222222222222
NH9746,34.5,13.0,3,1,4748.0,0.0,55.0,0.2222222222222222
YX5384,33.0,3.0,2,0,1096.0,-0.03292181069958853,98.0,0.0
LW6383,32.0,1.0,1,0,365.0,0.3473684210526316,98.0,0.0
ZI1035,31.0,1.0,1,1,365.0,0.0,115.0,0.2222222222222222
QZ7667,35.0,7.0,1,1,2557.0,0.0,55.0,0.2222222222222222
FC1581,42.0,3.0,1,0,1096.0,0.25052192066805845,98.0,0.0
DF3193,32.0,1.0,10,0,365.0,0.0,98.0,0.0
XS4810,33.0,8.0,5,0,2922.0,0.0,98.0,0.0
FN5069,33.0,1.0,1,1,365.0,0.0,-6.0,0.2222222222222222
PP3842,33.0,2.0,2,0,731.0,0.34648127128263345,98.0,0.0
RL6168,32.0,3.0,1,1,1096.0,0.0,451.0,0.2222222222222222
QA9460,32.5,6.0,1,0,2192.0,0.9069212410501193,98.0,0.0
NG8388,31.0,1.0,1,0,365.0,0.0,98.0,0.0
XU1758,43.5,3.0,1,1,1096.0,0.0,-67.0,0.2222222222222222
BU4301,34.0,8.0,1,1,2922.0,0.5233853006681515,-39.0,0.2222222222222222
