Co_Ref,crm_contractor_sentiment_score,crm_agent_chase_count,Time_to_Renewal,crm_delays_in_accreditation,crm_contractor_engagement,crm_customer_payment_intention,crm_competitors_mentioned,crm_membership_overdue,crm_customer_complained,crm_dissatisfaction_with_support
AF0296,40.0,0.8333333333333334,1,0,1,1,0,1,0,0
AF0836,65.0,2.0,1,0,1,1,0,0,0,0
AF0868,14.285714285714286,0.42857142857142855,0,1,0,1,0,1,0,0
AF1252,70.0,0.5,0,0,1,1,0,1,0,0
AF1667,25.0,1.0,0,0,1,1,0,1,0,0
AF1713,12.5,2.25,0,0,1,1,0,1,0,0
AF1969,50.0,0.6666666666666666,0,0,1,2,0,0,0,0
AF1971,16.666666666666668,2.0,0,0,1,1,0,1,0,0
AF2553,16.666666666666668,0.5,0,1,0,1,0,2,0,0
AF2686,25.0,3.0,2,0,1,1,0,2,0,0
AF2711,21.666666666666668,1.0,1,0,0,1,0,0,0,0
AF2845,17.5,1.25,0,0,1,1,0,0,0,0
AF2894,0.0,2.5,0,1,0,1,0,1,0,0
AF2900,65.0,1.0,0,0,1,2,0,1,0,1
AF3164,25.0,1.0,1,0,1,1,0,0,0,0
AF3408,16.666666666666668,2.0,0,0,1,1,0,2,0,0
AF3809,16.666666666666668,1.3333333333333333,0,2,1,1,0,1,0,0
AF3897,33.333333333333336,2.6666666666666665,1,2,1,0,0,2,0,0
AF3924,0.0,3.0,3,2,1,1,0,2,0,0
AF4359,25.0,0.75,0,0,1,1,0,1,0,0
AF4368,23.333333333333332,0.3333333333333333,0,0,1,1,0,0,0,0
AF4598,37.5,1.5,0,0,1,1,0,1,0,0
AF4674,25.0,1.0,0,0,1,1,0,1,0,0
AF4721,25.0,1.0,1,0,1,1,0,1,0,0
AF4921,50.0,2.5,0,0,1,0,0,0,0,0
AF5076,0.0,0.0,0,0,1,1,0,1,0,0
AF5367,28.0,0.8,1,0,1,1,0,0,0,0
AF5796,50.0,0.0,1,2,1,1,0,1,0,0
AF5831,66.66666666666667,1.3333333333333333,0,0,1,1,0,1,0,0
